0,1000009,"[1001365, 1004622, 1030144, 1072776, 1078950, 1081914, 1086517, 1095728, 1095970, 1099774, 1107800]"
1,1000170,"[1024055, 1072738, 1078950, 1086988, 1089771, 1114553]"
2,1000301,"[1001365, 1045582, 1078950, 1089733, 1114553, 1124740]"
3,1000336,"[1001726, 1006631, 1010402, 1013804, 1025952, 1032844, 1036292, 1037828, 1043874, 1044909, 1068519, 1072675, 1072738, 1081914, 1086517, 1093960, 1098880, 1107800, 1109083, 1109293, 1114553, 1117844, 1121038, 1122860, 1137554, 1139529]"
4,1000351,"[1010402, 1029746, 1029906, 1035565, 1035621, 1038633, 1044757, 1046477, 1058769, 1061612, 1103677, 1104814]"
5,1000380,"[1003838, 1004622, 1010402, 1025903, 1026784, 1044918, 1045811, 1047585, 1055453, 1090247, 1095844, 1108697, 1125835]"
6,1000487,"[1043874, 1046191, 1062993, 1068519, 1122860, 1127780]"
7,1000511,"[1072695, 1077599, 1095970, 1108883, 1121038, 1122860]"
8,1000790,"[1049250, 1057977, 1072891, 1079611, 1090533]"
9,1000874,"[1010402, 1016888, 1067816, 1071712, 1091528, 1108697, 1117349, 1139458]"
10,1001247,"[1006631, 1010402, 1016469, 1032844, 1042288, 1044909, 1072675, 1072737, 1079056, 1081914, 1098880, 1114553]"
11,1001248,"[1025952, 1107800, 1109293, 1122860, 1137554]"
12,1001279,"[1004621, 1010402, 1028356, 1062993, 1072737, 1072738, 1077599, 1080847, 1108697]"
13,1001505,"[1018599, 1036336, 1080640, 1095728, 1095970]"
14,1001512,"[1010402, 1032844, 1043874, 1044975, 1068519, 1088431, 1095728]"
15,1001610,"[1006631, 1010402, 1032844, 1045687, 1072737, 1078950, 1082297, 1086517, 1095728, 1114553, 1122860]"
16,1001621,"[1006631, 1044909, 1046191, 1072675, 1108697, 1114553, 1128702]"
17,1001791,"[1013804, 1023035, 1044975, 1072738, 1109449]"
18,1001797,"[1065238, 1066534, 1072737, 1072738, 1079611, 1090723, 1121038]"
19,1001858,"[1004622, 1006355, 1006824, 1008195, 1023543, 1024055, 1024071, 1044975, 1045582, 1064275, 1072738, 1075360, 1095970, 1098880]"
20,1001865,"[1001124, 1003838, 1004622, 1045166, 1047585, 1088214, 1105957]"
21,1001907,"[1010402, 1010599, 1037825, 1056617, 1068429, 1077599, 1089293, 1108891, 1111217]"
22,1001949,"[1008033, 1010402, 1031792, 1042085, 1079579]"
23,1002003,"[1003838, 1010402, 1021435, 1030437, 1047585]"
24,1002185,"[1001726, 1003838, 1006631, 1026784, 1032584, 1037828, 1044909, 1044918, 1046452, 1072675, 1072737, 1077599, 1082297, 1086517, 1087325, 1095235, 1105957, 1108697, 1109083, 1114553, 1116446, 1121038, 1122860, 1131691, 1137793]"
25,1002192,"[1010402, 1023480, 1049171, 1059423, 1072738, 1087325, 1088431, 1098880, 1121038, 1128964]"
26,1002223,"[1045242, 1047171, 1057786, 1057806, 1070428, 1132255]"
27,1002487,"[1010402, 1044909, 1046803, 1059520, 1063756, 1111394]"
28,1002651,"[1014497, 1017423, 1054968, 1086988, 1122675, 1131726]"
29,1002875,"[1011455, 1014677, 1037746, 1040084, 1063118, 1064773, 1073482, 1087325, 1088917, 1096255, 1103584, 1103796, 1112750, 1118562]"
30,1003018,"[1002651, 1003838, 1004622, 1014497, 1045166, 1045811, 1047585, 1087325, 1093960, 1095728, 1131726]"
31,1003095,"[1001349, 1010402, 1035368, 1072737, 1076495, 1081914, 1082297, 1095970, 1107699, 1138885]"
32,1003106,"[1004622, 1021617, 1063954, 1066769, 1072675, 1104936, 1114553]"
33,1003218,"[1052381, 1061328, 1065677, 1066339, 1095235, 1095970, 1108883, 1112324, 1116892]"
34,1003254,"[1032844, 1040209, 1072738, 1072776, 1086517, 1108697, 1127831]"
35,1003357,"[1045811, 1068374, 1093960, 1095728, 1095970, 1107582, 1124740]"
36,1003509,"[1006631, 1045687, 1046369, 1072736, 1072737, 1079057, 1086517, 1095970, 1100390, 1108697, 1121038]"
37,1003563,"[1044909, 1063059, 1072675, 1086517, 1108697]"
38,1003627,"[1005815, 1010402, 1011362, 1045044, 1046803, 1076426, 1134390]"
39,1003664,"[1000543, 1044909, 1063059, 1072675, 1086517, 1108697]"
40,1003739,"[1006631, 1044909, 1046191, 1072675, 1114553, 1128702]"
41,1003747,"[1010402, 1072738, 1081950, 1095970, 1121038]"
42,1003928,"[1004622, 1023543, 1024055, 1032844, 1044975, 1054968, 1059461, 1068519, 1077599, 1091528]"
43,1003951,"[1004622, 1010402, 1021144, 1088475, 1105957, 1108697]"
44,1003985,"[1010402, 1011592, 1019539, 1038725, 1046452, 1047585, 1065130, 1072738, 1080640, 1081262, 1088214, 1095728, 1102709, 1108697, 1112324, 1129700]"
45,1004199,"[1004622, 1030144, 1032844, 1067816, 1068519, 1072675, 1088615, 1099774, 1119919]"
46,1004390,"[1044909, 1072243, 1072675, 1072738, 1139097]"
47,1004580,"[1001952, 1006824, 1021626, 1046452, 1060230, 1064275, 1072738]"
48,1004643,"[1018591, 1072776, 1093129, 1125817, 1131453]"
49,1004666,"[1032844, 1044909, 1105957, 1121038, 1122860]"
50,1004739,"[1010402, 1046191, 1086517, 1108697, 1121038]"
51,1004833,"[1027490, 1035122, 1045166, 1088214, 1105957]"
52,1005010,"[1004622, 1023543, 1024055, 1044975, 1054968, 1059461, 1091528, 1098880]"
